Source,Listed by Fake News Watch,Listed by Melissa Zimdars,Listed by The Daily Dot,Listed by U.S. News and World Report,Listed by New Republic,Listed by CBS News,Listed by about.com,Listed by NPR,Listed by Snopes Field Guide,Date Added
21stcenturywire.com,Yes,Yes,Yes,No,No,No,No,No,No,2016-06-29
70news.wordpress.com,No,Yes,Yes,No,No,Yes,No,No,No,2016-12-20
abcnews.com.co,No,No,Yes,No,No,Yes,No,No,No,2016-12-20
activistpost.com,Yes,Yes,Yes,Yes,No,No,No,No,No,2016-06-29
addictinginfo.org,No,Yes,Yes,No,No,No,No,No,No,2016-12-20
americannews.com,Yes,Yes,Yes,Yes,No,No,No,No,No,2016-06-29
americannewsx.com,No,Yes,No,No,No,No,No,No,No,2016-12-20
amplifyingglass.com,Yes,No,No,No,No,No,No,No,No,2016-06-29
anonews.co,No,No,Yes,No,No,No,No,No,No,2016-12-20
beforeitsnews.com,Yes,Yes,No,Yes,No,No,No,No,No,2016-06-29
bigamericannews.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
bipartisanreport.com,No,Yes,Yes,No,No,No,No,No,No,2016-12-20
bluenationreview.com,No,Yes,Yes,No,No,No,No,No,No,2016-12-20
breitbart.com,No,Yes,Yes,No,No,No,No,No,No,2016-12-20
burrardstreetjournal.com,No,No,No,No,No,Yes,No,No,No,2016-12-20
callthecops.net,No,No,Yes,No,No,No,Yes,No,No,2016-12-20
christiantimes.com,No,No,No,No,No,Yes,No,No,No,2016-12-20
christwire.org,Yes,Yes,Yes,No,No,No,No,No,No,2016-06-29
chronicle.su,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
civictribune.com,Yes,Yes,Yes,No,No,Yes,No,No,No,2016-06-29
clickhole.com,Yes,Yes,Yes,Yes,No,No,No,No,No,2016-06-29
coasttocoastam.com,Yes,Yes,Yes,No,No,No,No,No,No,2016-06-29
collective-evolution.com,No,No,Yes,No,No,No,No,No,No,2016-12-20
consciouslifenews.com,Yes,Yes,Yes,No,No,No,No,No,No,2016-06-29
conservativeoutfitters.com,Yes,Yes,Yes,No,No,No,No,No,No,2016-12-20
countdowntozerotime.com,Yes,Yes,Yes,No,No,No,No,No,No,2016-06-29
counterpsyops.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
creambmp.com,Yes,Yes,Yes,No,No,No,No,No,No,2016-06-29
dailybuzzlive.com,Yes,Yes,No,Yes,No,No,No,No,No,2016-06-29
dailycurrant.com,Yes,Yes,No,No,No,No,Yes,No,No,2016-06-29
dailynewsbin.com,No,Yes,No,No,No,No,No,No,No,2016-12-20
dcclothesline.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
demyx.com,No,No,No,No,Yes,No,No,No,No,2016-12-20
denverguardian.com,No,No,No,No,No,No,No,Yes,No,2016-12-20
derfmagazine.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
disclose.tv,Yes,Yes,No,Yes,No,No,No,No,No,2016-06-29
duffelblog.com,Yes,Yes,Yes,Yes,No,No,No,No,No,2016-06-29
duhprogressive.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
empireherald.com,No,Yes,No,No,No,Yes,No,No,No,2016-12-20
empirenews.net,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,2016-06-29
empiresports.co,Yes,No,No,No,Yes,No,Yes,No,Yes,2016-06-29
en.mediamass.net,Yes,Yes,Yes,No,Yes,No,Yes,No,No,2016-06-29
endingthefed.com,No,Yes,No,No,No,No,No,No,No,2016-12-20
enduringvision.com,Yes,Yes,Yes,No,No,No,No,No,No,2016-06-29
flyheight.com,No,Yes,No,No,No,No,No,No,No,2016-12-20
fprnradio.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
freewoodpost.com,No,No,No,No,No,No,Yes,No,No,2016-12-20
geoengineeringwatch.org,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
globalassociatednews.com,No,No,No,No,Yes,No,Yes,No,No,2016-12-20
globalresearch.ca,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
gomerblog.com,Yes,No,No,No,No,No,No,No,No,2016-06-29
govtslaves.info,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
gulagbound.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
hangthebankers.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
humansarefree.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
huzlers.com,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,2016-06-29
ifyouonlynews.com,No,Yes,No,No,No,Yes,No,No,No,2016-12-20
infowars.com,Yes,Yes,Yes,Yes,No,Yes,No,No,No,2016-06-29
intellihub.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
itaglive.com,Yes,No,No,No,No,No,No,No,No,2016-06-29
jonesreport.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
lewrockwell.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
liberalamerica.org,No,Yes,No,No,No,No,No,No,No,2016-12-20
libertymovementradio.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
libertytalk.fm,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
libertyvideos.org,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
lightlybraisedturnip.com,No,No,No,No,Yes,No,No,No,No,2016-12-20
nationalreport.net,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2016-06-29
naturalnews.com,Yes,Yes,Yes,Yes,No,No,No,No,No,2016-06-29
ncscooper.com,No,Yes,No,No,No,No,No,No,Yes,2016-12-20
newsbiscuit.com,Yes,Yes,Yes,No,No,No,No,No,No,2016-06-29
newslo.com,Yes,Yes,Yes,Yes,No,No,No,No,No,2016-06-29
newsmutiny.com,Yes,Yes,Yes,No,No,No,No,No,No,2016-06-29
newswire-24.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
nodisinfo.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
now8news.com,No,Yes,No,No,No,Yes,No,No,Yes,2016-12-20
nowtheendbegins.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
occupydemocrats.com,No,Yes,Yes,No,No,No,No,No,No,2016-12-20
other98.com,No,Yes,Yes,No,No,No,No,No,No,2016-12-20
pakalertpress.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
politicalblindspot.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
politicalears.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
politicops.com,Yes,Yes,No,No,No,Yes,No,No,No,2016-06-29
politicususa.com,No,Yes,No,No,No,No,No,No,No,2016-12-20
prisonplanet.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
react365.com,No,Yes,No,No,No,Yes,No,No,Yes,2016-12-20
realfarmacy.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
realnewsrightnow.com,Yes,Yes,Yes,No,No,Yes,No,No,No,2016-06-29
redflagnews.com,Yes,Yes,No,Yes,No,No,No,No,No,2016-06-29
redstate.com,No,Yes,Yes,No,No,No,No,No,No,2016-12-20
rilenews.com,Yes,Yes,Yes,No,No,Yes,No,No,No,2016-06-29
rockcitytimes.com,Yes,No,No,No,No,No,No,No,No,2016-06-29
satiratribune.com,No,Yes,No,No,No,No,No,No,Yes,2016-12-20
stuppid.com,No,No,No,No,No,No,No,No,Yes,2016-12-20
theblaze.com,No,Yes,No,No,No,No,No,No,No,2016-12-20
thebostontribune.com,No,No,No,No,No,Yes,No,No,No,2016-12-20
thedailysheeple.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
thedcgazette.com,Yes,Yes,Yes,Yes,No,Yes,No,No,No,2016-06-29
thefreethoughtproject.com,No,Yes,Yes,No,No,No,No,No,No,2016-12-20
thelapine.ca,Yes,No,No,No,No,No,Yes,No,No,2016-06-29
thenewsnerd.com,Yes,Yes,No,No,Yes,No,No,No,No,2016-06-29
theonion.com,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,2016-06-29
theracketreport.com,No,No,No,No,No,No,Yes,No,No,2016-12-20
therundownlive.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
thespoof.com,Yes,No,No,No,No,No,Yes,No,No,2016-06-29
theuspatriot.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
truthfrequencyradio.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
twitchy.com,No,No,Yes,No,No,No,No,No,No,2016-12-20
unconfirmedsources.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
USAToday.com.co,No,No,No,No,No,No,No,Yes,Yes,2016-12-20
usuncut.com,No,Yes,Yes,No,No,No,No,No,No,2016-12-20
veteranstoday.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
wakingupwisconsin.com,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
weeklyworldnews.com,Yes,No,No,Yes,No,No,Yes,No,No,2016-06-29
wideawakeamerica.com,Yes,No,No,No,No,No,No,No,No,2016-06-29
winningdemocrats.com,No,Yes,No,No,No,No,No,No,No,2016-12-20
witscience.org,Yes,Yes,No,No,No,No,No,No,No,2016-06-29
wnd.com,No,Yes,No,No,No,No,No,No,No,2016-12-20
worldnewsdailyreport.com,Yes,Yes,Yes,No,No,No,Yes,No,Yes,2016-06-29
worldtruth.tv,Yes,Yes,No,Yes,No,No,No,No,No,2016-06-29
yournewswire.com,No,No,No,No,No,Yes,No,No,No,2016-12-20