Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus,2018-01-20 04:42:30,2018-02-20 16:55:53,2018-02-27 16:56:00
16wmpo.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
21stcenturywire.com,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,4,100.0,100.0,100.0
24wpn.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
24x365live.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,0.0,0.0,0.0
70news.wordpress.com,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,3,37.0,96.0,95.0
USAToday.com.co,No,No,No,No,No,No,Yes,Yes,No,No,No,No,2,0.0,0.0,0.0
abcnews.com.co,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,5,2.0,0.0,3.0
abeldanger.net,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,0.0,0.0,0.0
abovetopsecret.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,100.0,100.0,100.0
activistpost.com,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,5,100.0,100.0,100.0
actualidadpanamericana.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,100.0,100.0,100.0
addictinginfo.org,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,3,100.0,54.0,42.0
adobochronicles.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2,39.0,42.0,80.0
alabamaobserver.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,0.0,0.0,0.0
americanflavor.news,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,0.0,0.0,0.0
americannews.com,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,5,18.0,4.0,9.0
americanpoliticnews.co,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
americanpresident.co,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
amplifyingglass.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,0.0,0.0,0.0
amposts.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
anews24.org/,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
angrypatriotmovement.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,29.0,17.0,19.0
anonjekloy.tk,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
associatedmediacoverage.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,0.0,0.0
aurora-news.us,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,100.0,0.0,0.0
awarenessact.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,100.0,100.0,100.0
bb4sp.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,100.0,100.0,100.0
beforeitsnews.com,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,5,100.0,100.0,100.0
bigamericannews.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,0.0,0.0,0.0
bipartisanreport.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2,100.0,100.0,100.0
blacklistednews.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,100.0,100.0,100.0
bluenationreview.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2,50.0,90.0,31.0
bostonleader.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,0.0,0.0
bostontribune.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
breakingnews247.net,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,0.0,0.0,0.0
breakingnews365.net,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,0.0,0.0,0.0
breitbart.com,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,3,100.0,100.0,100.0
burrardstreetjournal.com,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,3,43.0,34.0,25.0
buzzfeedusa.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
callthecops.net,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,3,0.0,0.0,0.0
cannasos.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,100.0,100.0,100.0
celebtricity.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2,7.0,1.0,1.0
channel18news.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,0.0,0.0
channel24news.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,3.0,2.0,2.0
christiantimesnewspaper.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,0.0,0.0
christwire.org,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,3,0.0,0.0,0.0
chronicle.su,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,82.0,16.0,9.0
civictribune.com,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,6,0.0,0.0,0.0
clashdaily.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,100.0,100.0,97.0
clickhole.com,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,4,100.0,100.0,100.0
cnnews3.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
coasttocoastam.com,Yes,Yes,No,No,No,No,No,No,No,No,No,No,2,90.0,100.0,100.0
coed.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,75.0,100.0,100.0
collective-evolution.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2,100.0,100.0,100.0
consciouslifenews.com,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,4,100.0,100.0,100.0
conservativedailypost.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,100.0,100.0,100.0
conservativeflashnews.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
conservativeoutfitters.com,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,3,4.0,2.0,2.0
conservativespirit.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
countdowntozerotime.com,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,3,3.0,16.0,8.0
counterpsyops.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,16.0,0.0,6.0
creambmp.com,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,3,4.0,1.0,0.0
dailybuzzlive.com,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,4,2.0,2.0,2.0
dailycurrant.com,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,4,0.0,1.0,1.0
dailyinfobox.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
dailynews10.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
dailynews5.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,0.0,0.0
dailynewsposts.info,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,1.0,1.0
dailysnark.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,100.0,100.0,100.0
dailystormer.com,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,3,9.0,4.0,4.0
dailysurge.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,8.0,5.0,2.0
dailyusaupdate.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
damnleaks.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
dcclothesline.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3,100.0,100.0,100.0
denverguardian.com,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,3,0.0,0.0,0.0
denverinquirer.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,0.0,0.0,0.0
departedmedia.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
derfmagazine.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,0.0,1.0,1.0
disclose.tv,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,4,100.0,94.0,100.0
diyhours.net,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
donaldtrumppotus45.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
duffelblog.com,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,4,100.0,100.0,100.0
duhprogressive.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,0.0,0.0,0.0
educate-yourself.org,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,77.0,100.0,82.0
empireherald.com,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,4,0.0,0.0,0.0
empirenews.net,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,8,0.0,0.0,0.0
empiresports.co,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,7,1.0,0.0,0.0
en.mediamass.net,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,4,0.0,0.0,0.0
enduringvision.com,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,3,0.0,1.0,0.0
enhlive.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
fedsalert.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,0.0,0.0
fellowshipoftheminds.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,100.0,100.0,100.0
flashnewscorner.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,1.0,1.0,3.0
floridasunpost.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,0.0,0.0
fprnradio.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,0.0,27.0,48.0
freedomdaily.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,90.0,100.0,72.0
freedomoutpost.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,100.0,100.0,100.0
freewoodpost.com,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,4,0.0,10.0,7.0
freshdailyreport.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
fromthetrenchesworldreport.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,100.0,100.0,100.0
geoengineeringwatch.org,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,85.0,98.0,100.0
globalassociatednews.com,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,3,0.0,0.0,0.0
globalpoliticsnow.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
globalresearch.ca,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3,82.0,100.0,90.0
gomerblog.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,100.0,100.0,89.0
govtslaves.info,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3,73.0,56.0,88.0
gulagbound.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,91.0,77.0,81.0
gummypost.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
hangthebankers.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,100.0,100.0,100.0
healthycareandbeauty.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,21.0,0.0,1.0
healthyworldhouse.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
houstonchronicle-tv.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,0.0,0.0,0.0
humansarefree.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,85.0,100.0,94.0
huzlers.com,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,8,100.0,100.0,100.0
ifyouonlynews.com,No,No,No,No,Yes,No,No,No,No,Yes,No,No,2,100.0,100.0,100.0
infowars.com,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,6,85.0,100.0,100.0
intellihub.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3,100.0,100.0,100.0
interestingdailynews.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
investmentwatchblog.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,100.0,90.0,100.0
itaglive.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,0.0,0.0,3.0
jewsnews.co.il,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,100.0,100.0,100.0
jonesreport.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,0.0,0.0,0.0
katehon.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,92.0,100.0,94.0
kmt11.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,0.0,0.0
konkonsagh.biz,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
krbcnews.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2,0.0,0.0,0.0
ky12news.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,0.0,0.0
lastdeplorables.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
learnprogress.org,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,2.0,7.0,4.0
lewrockwell.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3,100.0,80.0,98.0
liberalplug.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,1.0,0.0,0.0
libertyalliance.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,3.0,8.0,6.0
libertymovementradio.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,0.0,0.0,0.0
libertytalk.fm,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,17.0,29.0,11.0
libertyvideos.org,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,0.0,0.0,0.0
local31news.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
madworldnews.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,100.0,84.0,100.0
majorthoughts.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
mediamass.net,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2,0.0,0.0,0.0
mentor2day.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
metropolitanworlds.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
mississippiherald.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,0.0,0.0,0.0
msnbc.website,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2,18.0,15.0,26.0
nationalreport.net,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,10,0.0,0.0,0.0
naturalnews.com,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,4,100.0,100.0,100.0
nbc.com.co,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
